Name,Table Name,Extended From Class,CI Family,Created
.NET Application,cmdb_ci_appl_dot_net,Application,cmdb_ci_appl,11/08/2016 19:23
A10 Load Balancer,cmdb_ci_lb_a10,Load Balancer,cmdb_ci_lb,11/08/2016 19:22
A10 Load Balancer Partition,cmdb_ci_lb_a10_partition,Configuration Item,cmdb_ci_lb,06/03/2021 01:12
Accessory,cmdb_ci_acc,Configuration Item,cmdb_ci_acc,06/03/2015 17:57
ACE,cmdb_ci_lb_ace,Load Balancer,cmdb_ci_lb,11/08/2016 19:25
ACL Endpoint,cmdb_ci_endpoint_acl,Endpoint,cmdb_ci_endpoint,22/02/2018 19:22
Active Directory Domain Controller,cmdb_ci_ad_controller,Directory Server,cmdb_ci_ad,11/08/2016 19:25
Active Directory Domain to Domain Controllers Endpoint,cmdb_ci_endpoint_ad_domain,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
Active Directory Forest Endpoint,cmdb_ci_endpoint_ad_forest,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
Active Directory Service,cmdb_ci_appl_active_directory,Application,cmdb_ci_appl,11/08/2016 19:24
ActiveMatrix Business Works,cmdb_ci_appl_tibco_matrix,Application,cmdb_ci_appl,11/08/2016 19:24
ActiveMatrix Business Works Process,cmdb_ci_appl_tibco_matrix_proc,Application,cmdb_ci_appl,11/08/2016 19:24
AD Domain,cmdb_ci_ad_domain,Infrastructure Service,cmdb_ci_ad,11/08/2016 19:23
AD Forest,cmdb_ci_directory_ad_forest,Infrastructure Service,cmdb_ci_directory,11/08/2016 19:23
AD Service inc,cmdb_ci_endpoint_ad_service_in,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:25
Advanced Queue Endpoint,cmdb_ci_endpoint_aq,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
Advanced Queue Queue,cmdb_ci_appl_ora_queue,Application,cmdb_ci_appl,11/08/2016 19:24
agility,cmdb_ci_endpoint_agility,Endpoint,cmdb_ci_endpoint,22/02/2018 19:23
agility process,cmdb_ci_agility_process,Application,cmdb_ci_agility,22/02/2018 19:23
Aircraft,cmdb_ci_aircraft,Transport Type,cmdb_ci_aircraft,06/03/2021 00:40
AIX Server,cmdb_ci_aix_server,UNIX Server,cmdb_ci_aix,06/03/2015 17:57
AJP Endpoint,cmdb_ci_endpoint_ajp,Endpoint,cmdb_ci_endpoint,11/08/2016 19:25
Alert Group,cmdb_ci_alert_group,Application Service,cmdb_ci_alert,29/08/2019 17:02
Alias,cmdb_ci_alias,Configuration Item,cmdb_ci_alias,11/08/2016 19:23
Alteon,cmdb_ci_lb_alteon,Load Balancer,cmdb_ci_lb,11/08/2016 19:24
Apache Web Server,cmdb_ci_apache_web_server,Web Server,cmdb_ci_apache,11/08/2016 19:24
Apic Host,cmdb_ci_apic_host,Virtual Machine Object,cmdb_ci_apic,22/02/2018 19:23
Apic Tenant,cmdb_ci_apic_tenant,Virtual Machine Object,cmdb_ci_apic,22/02/2018 19:23
APIGee EP to get targets host by source url,cmdb_ci_apigee_endpoint,Endpoint,cmdb_ci_apigee,05/03/2021 23:52
APIGee Service,cmdb_ci_appl_apigee_srv,Application,cmdb_ci_appl,05/03/2021 23:48
App Icon Inc,cmdb_ci_endpoint_app,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
Application,cmdb_ci_appl,Configuration Item,cmdb_ci_appl,06/03/2015 17:57
Application Cluster,cmdb_ci_application_cluster,Configuration Item,cmdb_ci_application,11/08/2016 19:23
Application Network Profile,cmdb_ci_app_network_profile,Virtual Machine Object,cmdb_ci_app,22/02/2018 19:23
Application Server,cmdb_ci_app_server,Application,cmdb_ci_app,06/03/2015 17:57
Application Server Resource,cmdb_ci_application_server_resource,Application,cmdb_ci_application,05/03/2021 23:28
Application Service,cmdb_ci_service_auto,Business Service,cmdb_ci_service,16/05/2019 18:14
Application Software,cmdb_ci_application_software,Software,cmdb_ci_application,06/03/2015 17:57
Application To Storage Endpoint,cmdb_ci_endpoint_app_storage,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
AQ Queue,cmdb_ci_endpoint_aq_queue,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
Automatic Transfer Switch,cmdb_ci_ats_power_eq,Power Equipment,cmdb_ci_ats,06/03/2015 17:57
Availability Set,cmdb_ci_availability_set,Virtual Machine Object,cmdb_ci_availability,22/02/2018 19:23
Availability Zone,cmdb_ci_availability_zone,Virtual Machine Object,cmdb_ci_availability,22/02/2018 19:24
AVI Controller,cmdb_ci_avi_controller,Virtual Machine Object,cmdb_ci_avi,06/03/2021 01:03
AVI Controller Cluster,cmdb_ci_avi_controller_cluster,Virtual Machine Object,cmdb_ci_avi,06/03/2021 00:28
AVI Service Engine,cmdb_ci_avi_service_engine,Virtual Machine Object,cmdb_ci_avi,06/03/2021 00:49
AWS Account,cmdb_ci_aws_account,Virtual Machine Object,cmdb_ci_aws,16/05/2019 18:12
AWS Cloud ECS Cluster,cmdb_ci_cloud_ecs_cluster,Virtual Machine Object,cmdb_ci_cloud,06/03/2021 00:09
